constructor,status,date,circuit,year,race
Toro Rosso,Finished,2019-07-28,German Grand Prix,2019,11
Racing Point,Finished,2019-07-28,German Grand Prix,2019,11
McLaren,Finished,2019-07-28,German Grand Prix,2019,11
Toro Rosso,Finished,2019-07-28,German Grand Prix,2019,11
Haas F1 Team,Finished,2019-07-28,German Grand Prix,2019,11
Haas F1 Team,Finished,2019-07-28,German Grand Prix,2019,11
Mercedes,Finished,2019-07-28,German Grand Prix,2019,11
Williams,Finished,2019-07-28,German Grand Prix,2019,11
Williams,Finished,2019-07-28,German Grand Prix,2019,11
Alfa Romeo,Finished,2019-07-28,German Grand Prix,2019,11
Alfa Romeo,Finished,2019-07-28,German Grand Prix,2019,11
Red Bull,Accident,2019-07-28,German Grand Prix,2019,11
Mercedes,Accident,2019-07-28,German Grand Prix,2019,11
Renault,Accident,2019-07-28,German Grand Prix,2019,11
Ferrari,Accident,2019-07-28,German Grand Prix,2019,11
McLaren,Engine,2019-07-28,German Grand Prix,2019,11
Renault,Overheating,2019-07-28,German Grand Prix,2019,11
Racing Point,Accident,2019-07-28,German Grand Prix,2019,11
Mercedes,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Red Bull,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Ferrari,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Ferrari,Finished,2019-08-04,Hungarian Grand Prix,2019,12
McLaren,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Red Bull,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Alfa Romeo,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Mercedes,Finished,2019-08-04,Hungarian Grand Prix,2019,12
McLaren,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Toro Rosso,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Racing Point,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Renault,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Haas F1 Team,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Renault,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Toro Rosso,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Williams,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Racing Point,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Alfa Romeo,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Williams,Finished,2019-08-04,Hungarian Grand Prix,2019,12
Haas F1 Team,Fluid systems,2019-08-04,Hungarian Grand Prix,2019,12
Ferrari,Finished,2019-09-01,Belgian Grand Prix,2019,13
Mercedes,Finished,2019-09-01,Belgian Grand Prix,2019,13
Mercedes,Finished,2019-09-01,Belgian Grand Prix,2019,13
Ferrari,Finished,2019-09-01,Belgian Grand Prix,2019,13
Red Bull,Finished,2019-09-01,Belgian Grand Prix,2019,13
Racing Point,Finished,2019-09-01,Belgian Grand Prix,2019,13
Toro Rosso,Finished,2019-09-01,Belgian Grand Prix,2019,13
Renault,Finished,2019-09-01,Belgian Grand Prix,2019,13
Toro Rosso,Finished,2019-09-01,Belgian Grand Prix,2019,13
Racing Point,Finished,2019-09-01,Belgian Grand Prix,2019,13
McLaren,Engine,2019-09-01,Belgian Grand Prix,2019,13
Haas F1 Team,Finished,2019-09-01,Belgian Grand Prix,2019,13
Haas F1 Team,Finished,2019-09-01,Belgian Grand Prix,2019,13
Renault,Finished,2019-09-01,Belgian Grand Prix,2019,13
Williams,Finished,2019-09-01,Belgian Grand Prix,2019,13
